# _tick,_time,frames,mean_episode_return_0,loss_0
322,1760608209.4768546,1030400,-0.08377231657505035,0.8161005973815918
323,1760608210.0758843,1033600,-0.08375532180070877,0.8021498322486877
324,1760608210.845579,1036800,-0.08358407765626907,0.783210813999176
325,1760608211.7157104,1040000,-0.08370839059352875,0.7967604994773865
326,1760608212.3405042,1043200,-0.08380934596061707,0.7684637308120728
327,1760608213.0026994,1046400,-0.08408362418413162,0.7744537591934204
328,1760608213.761046,1049600,-0.08389131724834442,0.7837127447128296
329,1760608214.443893,1052800,-0.08360066264867783,0.7974390387535095
330,1760608215.036032,1056000,-0.08360839635133743,0.7841054797172546
331,1760608215.78061,1059200,-0.08282420784235,0.7922804951667786
332,1760608216.6149344,1062400,-0.08235789090394974,0.7945454120635986
333,1760608217.4661515,1065600,-0.08274678140878677,0.764594554901123
334,1760608218.3168478,1068800,-0.08108626306056976,0.8386391401290894
335,1760608218.988642,1072000,-0.08060973882675171,0.7985787391662598
336,1760608219.7202413,1075200,-0.08022510260343552,0.7720405459403992
337,1760608220.3264077,1078400,-0.07964371144771576,0.7906317114830017
338,1760608221.0198019,1081600,-0.07980320602655411,0.8154866099357605
339,1760608221.7543604,1084800,-0.08176138997077942,0.7912194132804871
340,1760608222.5791228,1088000,-0.08163696527481079,0.7975916862487793
341,1760608223.1578531,1091200,-0.08172276616096497,0.7863598465919495
342,1760608223.7987432,1094400,-0.08109242469072342,0.7941733002662659
343,1760608224.6150916,1097600,-0.08136323094367981,0.8210775256156921
344,1760608225.313532,1100800,-0.08160829544067383,0.8026776909828186
345,1760608226.0216184,1104000,-0.08156368881464005,0.7987191081047058
346,1760608226.924713,1107200,-0.08145961165428162,0.7933561205863953
347,1760608227.698004,1110400,-0.08133057504892349,0.7906245589256287
348,1760608228.262977,1113600,-0.08133865147829056,0.7629566192626953
349,1760608228.8419518,1116800,-0.08090625703334808,0.8029232621192932
350,1760608229.5093346,1120000,-0.08058734238147736,0.7967414855957031
351,1760608230.337312,1123200,-0.0804729089140892,0.7781100273132324
352,1760608230.9778533,1126400,-0.08012375980615616,0.768604576587677
353,1760608231.5903368,1129600,-0.08015189319849014,0.7837418913841248
354,1760608232.1168854,1132800,-0.0798119455575943,0.7597293257713318
355,1760608232.9289236,1136000,-0.07928292453289032,0.7753870487213135
356,1760608232.824274,1139200,-0.07907287776470184,0.7721393704414368
357,1760608233.3914113,1142400,-0.07900789380073547,0.8149694204330444
358,1760608233.9621823,1145600,-0.0789196714758873,0.7787715196609497
359,1760608234.5851123,1148800,-0.07905413955450058,0.7893189191818237
360,1760608235.4039361,1152000,-0.07916814088821411,0.7676647901535034
361,1760608236.0205922,1155200,-0.07961229979991913,0.7600964307785034
362,1760608236.574677,1158400,-0.07959828525781631,0.7875555157661438
363,1760608237.3748755,1161600,-0.07941257208585739,0.7848525047302246
364,1760608238.0368207,1164800,-0.07917799055576324,0.7674689292907715
365,1760608238.8703504,1168000,-0.07935177534818649,0.8472777605056763
366,1760608239.7976248,1171200,-0.07996776700019836,0.7752938866615295
367,1760608240.5409324,1174400,-0.07990023493766785,0.7881284952163696
368,1760608241.3013825,1177600,-0.07997070997953415,0.7748594880104065
369,1760608241.9069724,1180800,-0.08025192469358444,0.786602795124054
370,1760608242.6604462,1184000,-0.07964280992746353,0.7829930782318115
371,1760608243.448203,1187200,-0.07915078103542328,0.7792896032333374
372,1760608244.1594608,1190400,-0.07947297394275665,0.7692129611968994
373,1760608244.9100063,1193600,-0.07906711846590042,0.7948894500732422
374,1760608245.653717,1196800,-0.07865776866674423,0.77784264087677
375,1760608246.419809,1200000,-0.07863237708806992,0.7854962348937988
376,1760608246.9804897,1203200,-0.07825947552919388,0.7600853443145752
377,1760608247.8287656,1206400,-0.07833728194236755,0.7960051894187927
378,1760608248.5159597,1209600,-0.08126430213451385,0.8086323738098145
379,1760608249.1401033,1212800,-0.08201303333044052,0.8770712018013
380,1760608249.792173,1216000,-0.08175408095121384,0.7782146334648132
381,1760608250.351469,1219200,-0.0815291628241539,0.7738885283470154
382,1760608250.9670188,1222400,-0.0816783681511879,0.791786253452301
383,1760608251.5812867,1225600,-0.08166483044624329,0.794101893901825
384,1760608252.2073874,1228800,-0.08156980574131012,0.7879407405853271
385,1760608252.9371953,1232000,-0.08087518811225891,0.7935505509376526
386,1760608253.56485,1235200,-0.08046568185091019,0.7799617648124695
387,1760608254.290024,1238400,-0.08076023310422897,0.8236526250839233
388,1760608255.0181975,1241600,-0.08099784702062607,0.8116576671600342
389,1760608255.6112623,1244800,-0.08136613667011261,0.8180614709854126
390,1760608256.229064,1248000,-0.08153234422206879,0.7993442416191101
391,1760608256.9839845,1251200,-0.08095084875822067,0.7919486165046692
392,1760608257.6138248,1254400,-0.0813072994351387,0.7716761231422424
393,1760608258.3306394,1257600,-0.08126653730869293,0.7924076318740845
394,1760608259.1377819,1260800,-0.08058421313762665,0.7798168659210205
395,1760608259.9362903,1264000,-0.08083053678274155,0.7693545818328857
396,1760608260.5524473,1267200,-0.08069798350334167,0.7793211936950684
397,1760608261.1451507,1270400,-0.0803840160369873,0.7752947807312012
398,1760608261.7234714,1273600,-0.08035822212696075,0.7742029428482056
